"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 05 02:36:47 UTC 2023","Tue Dec 05 02:36:53 UTC 2023","5998","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Dec 05 03:05:37 UTC 2023","Tue Dec 05 03:05:39 UTC 2023","2213","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Dec 05 02:51:35 UTC 2023","Tue Dec 05 02:51:39 UTC 2023","3450","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Dec 05 04:03:57 UTC 2023","Tue Dec 05 04:04:00 UTC 2023","3552","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Tue Dec 05 03:35:08 UTC 2023","Tue Dec 05 03:35:10 UTC 2023","2230","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Tue Dec 05 04:22:41 UTC 2023","Tue Dec 05 04:22:43 UTC 2023","1766","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Dec 05 02:36:53 UTC 2023","Tue Dec 05 02:37:00 UTC 2023","6371","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Dec 05 03:21:54 UTC 2023","Tue Dec 05 03:21:57 UTC 2023","2953","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Tue Dec 05 03:15:57 UTC 2023","Tue Dec 05 03:16:08 UTC 2023","11300","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Tue Dec 05 02:58:57 UTC 2023","Tue Dec 05 02:59:12 UTC 2023","15068","","9. Client Portal - Home","","","","1. Check links",""
"broken","Tue Dec 05 04:17:18 UTC 2023","Tue Dec 05 04:17:18 UTC 2023","1","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Dec 05 02:35:58 UTC 2023","Tue Dec 05 02:36:12 UTC 2023","14539","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Dec 05 04:04:00 UTC 2023","Tue Dec 05 04:04:04 UTC 2023","4078","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Tue Dec 05 02:38:18 UTC 2023","Tue Dec 05 02:38:26 UTC 2023","8282","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Dec 05 03:08:12 UTC 2023","Tue Dec 05 03:08:13 UTC 2023","265","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Dec 05 04:03:31 UTC 2023","Tue Dec 05 04:03:57 UTC 2023","25539","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Dec 05 02:40:08 UTC 2023","Tue Dec 05 02:40:23 UTC 2023","14888","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
